Rank,Title,Name of actors,Release date,Rating,Type,Duration,Region,Name of director,Cumulative income
38,三块广告牌,"弗兰西斯·麦克多蒙德,伍迪·哈里森,山姆·洛克威尔",2018/3/2,8.6,剧情，犯罪,115分钟,美国,马丁·麦克唐纳,6499万
39,请以你的名字呼唤我,"提莫西·查拉梅,艾米·汉莫,迈克尔·斯图巴",2017/1/22,8,爱情，剧情,132分钟,德国,卢卡·瓜达尼诺,暂无
40,死亡诗社,"罗宾·威廉姆斯,伊桑·霍克,柯特伍德·史密斯",1989/6/2,8.7,剧情,128分钟,美国,彼得·威尔,暂无
41,闻香识女人,"阿尔·帕西诺,克里斯·奥唐纳,加布里埃尔·安瓦尔",1992/12/23,8.8,剧情,157分钟,美国,马丁·布莱斯特,暂无
42,疯狂动物城,"金妮弗·古德温,杰森·贝特曼,伊德瑞斯·艾尔巴",2016/3/4,9.5,动画，动作，冒险,109分钟,美国,拜伦·霍华德，瑞奇·摩尔,153190万
43,机器人总动员,"本·贝尔特,艾丽莎·奈特,杰夫·格尔林",2008/6/27,9.3,喜剧，科幻，动画, 98分钟,美国,安德鲁·斯坦顿,暂无
44,复仇者联盟4：终局之战,"小罗伯特·唐尼,克里斯·埃文斯,马克·鲁法洛",2019/4/24,9.1,动作，冒险，奇幻,181分钟,美国,乔·罗素，安东尼·罗素,425013万
45,末代皇帝,"尊龙,陈冲,彼得·奥图尔",1987/10/4,8.8,剧情,163分钟,美国,贝纳尔多·贝托鲁奇,暂无
46,西西里的美丽传说,"莫妮卡·安娜·玛丽亚·贝鲁奇,朱塞佩·苏尔法罗,玛蒂尔德·皮亚纳",2000/10/26,8.2,剧情，爱情，战争,109分钟,意大利,朱塞佩·托纳多雷,暂无
47,心灵奇旅,"杰米·福克斯,蒂娜·菲,菲利西亚·拉斯海德",2020/12/25,9.2,动画，喜剧，冒险,101分钟,美国,彼特·道格特，坎普·鲍尔斯,37618万
48,让子弹飞,"姜文,周润发,葛优",2010/12/16,8.5,剧情，喜剧，动作，西部,132分钟,中国香港,姜文,63675万
49,本杰明·巴顿奇事,"布拉德·皮特,凯特·布兰切特,塔拉吉·P·汉森",2008/12/25,8.8,剧情，爱情，奇幻,166分钟,美国,大卫·芬奇,暂无
50,搏击俱乐部,"爱德华·哈里森·诺顿,布拉德·皮特,海伦娜·伯翰·卡特",1999/9/10,8.8,剧情，动作，悬疑，惊悚,139分钟,德国,大卫·芬奇,暂无
51,阿凡达,"萨姆·沃辛顿,佐伊·索尔达娜,米歇尔·罗德里格兹",2010/1/4,9.4,动作，科幻，冒险,162分钟,英国,詹姆斯·卡梅隆,暂无
52,美国往事,"罗伯特·德尼罗,詹姆斯·伍兹,伊丽莎白·麦戈文",2015/4/23,9.1,剧情，犯罪,229分钟,美国,赛尔乔·莱翁内,暂无
53,窃听风暴,"乌尔里希·穆埃,塞巴斯蒂安·科赫,马蒂娜·格德克",2006/3/23,9,剧情，悬疑,137分钟,德国,弗洛里安·亨克尔·冯·多纳斯马尔克,暂无
54,飞屋环游记,"爱德华·阿斯纳,乔丹·长井,鲍勃·彼德森",2009/8/4,8.9,剧情，喜剧，动画，冒险, 96分钟,美国,彼特·道格特，鲍勃·彼德森,7906万
55,天使爱美丽,"奥黛丽·塔图,马修·卡索维茨,吕菲斯",2001/4/25,8.4,爱情,122分钟,德国,让-皮埃尔·热内,暂无
56,乱世佳人,"费雯·丽,克拉克·盖博,奥利维娅·德哈维兰",1939/12/15,9.1,剧情，爱情，历史，战争,238分钟,美国,乔治·库克，维克多·弗莱明,暂无
57,飞越疯人院,"杰克·尼科尔森,路易丝·弗莱彻,威尔·萨姆森",1975/11/19,8.8,剧情,133分钟,美国,米洛斯·福尔曼,暂无
58,一一,"吴念真,金燕玲,李凯莉",2017/7/28,8.9,剧情，爱情，家庭,173分钟,日本,杨德昌,暂无
59,美丽心灵,"罗素·克劳,詹妮弗·康纳利,艾德·哈里斯",2001/12/13,8.8,剧情，传记,135分钟,美国,朗·霍华德,暂无
60,消失的爱人,"本·阿弗莱克,裴淳华,尼尔·帕特里克·哈里斯",2014/9/26,8.7,剧情，悬疑，惊悚，犯罪,149分钟,美国,大卫·芬奇,暂无
